,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
42,Port Alfred,0,ZA,1571178053,87,-33.59,26.89,57.99,9.79
43,Tabas,0,IR,1571178054,16,33.6,56.92,69.8,4.7
44,Paamiut,0,GL,1571178054,54,61.99,-49.67,36.95,5.18
45,Lebu,20,ET,1571178054,62,8.96,38.73,57.2,6.93
46,Ponta do Sol,90,BR,1571178054,44,-20.63,-46.0,79.84,2.88
47,Mehamn,83,NO,1571178054,86,71.03,27.85,35.6,8.05
48,Snezhnogorsk,75,RU,1571178054,97,69.19,33.23,32.0,4.47
49,Ulaangom,29,MN,1571178054,67,49.98,92.07,34.43,0.43
50,Zhigansk,99,RU,1571178055,90,66.77,123.37,21.7,17.93
51,Souillac,100,FR,1571178055,93,45.6,-0.6,59.0,12.75
52,Castro,90,CL,1571178055,87,-42.48,-73.76,51.8,2.41
53,Dikson,100,RU,1571178055,78,73.51,80.55,26.2,13.27
54,Mongo,100,CD,1571178055,93,-5.62,14.6,72.57,2.36
55,Mtwara,20,TZ,1571178055,94,-10.28,40.18,75.2,6.93
56,Katsuura,75,JP,1571178056,59,33.93,134.5,60.8,10.29
57,Nikolskoye,40,RU,1571178056,87,59.7,30.79,39.0,8.95
58,Grand Bank,90,CA,1571178056,93,47.1,-55.77,52.0,17.22
59,Flinders,75,AU,1571178056,77,-34.58,150.85,66.0,5.82
60,Butaritari,100,KI,1571178057,77,3.07,172.79,81.28,10.82
61,Marawi,32,PH,1571178057,90,8.0,124.29,75.0,5.01
62,Tual,96,ID,1571178057,85,-5.67,132.75,78.58,4.87
63,Kruisfontein,24,ZA,1571178057,83,-34.0,24.73,57.18,5.48
64,Hobart,20,AU,1571178057,81,-42.88,147.33,48.2,8.05
65,Cabedelo,20,BR,1571178057,88,-6.97,-34.84,75.2,6.93
66,Mar del Plata,100,AR,1571178058,56,-46.43,-67.52,52.43,19.3
67,Provideniya,90,RU,1571178058,86,64.42,-173.23,39.2,20.13
68,Fershampenuaz,99,RU,1571178058,91,53.52,59.82,42.85,8.14
69,Mehran,6,IR,1571178058,28,33.12,46.17,57.2,6.93
70,Iqaluit,90,CA,1571178058,90,63.75,-68.52,32.0,8.05
71,Airai,100,TL,1571178058,93,-8.93,125.41,62.82,2.52
72,Celestun,64,MX,1571178058,73,20.87,-90.4,86.14,18.15
73,Adrar,19,DZ,1571178059,17,27.87,-0.29,86.0,5.82
74,Kahului,20,US,1571178059,55,20.89,-156.47,87.8,19.46
75,Poum,0,MK,1571178059,86,41.28,20.71,52.9,0.66
76,Ahipara,100,NZ,1571178059,74,-35.17,173.16,59.38,28.68
77,Norman Wells,75,CA,1571178059,74,65.28,-126.83,28.4,18.34
78,Taveta,20,TZ,1571178059,88,-3.4,37.68,69.8,3.71
79,Cidreira,100,BR,1571178060,82,-30.17,-50.22,64.35,26.2
80,Zenica,0,BA,1571178060,93,44.2,17.91,46.4,2.24
81,Broken Hill,40,AU,1571178060,51,-31.97,141.45,62.6,18.34
82,Riwaka,16,NZ,1571178060,39,-41.08,173.0,66.0,5.07
83,Formosa,66,BR,1571178060,20,-15.55,-47.33,81.59,5.4
84,Owando,84,CG,1571178061,98,-0.49,15.91,69.8,2.44
85,Quatre Cocos,20,MU,1571178061,88,-20.21,57.76,69.8,13.39
86,Asosa,100,ET,1571178061,79,10.07,34.53,65.52,5.18
87,Dingle,2,PH,1571178061,94,11.0,122.67,73.02,7.73
88,Sur,0,OM,1571178061,50,22.57,59.53,78.71,2.98
89,Albany,20,US,1571178062,47,42.65,-73.75,57.2,5.82
90,Kysyl-Syr,91,RU,1571178062,98,63.9,122.77,18.77,3.59
91,Mahebourg,20,MU,1571178062,88,-20.41,57.7,69.8,8.61
92,Amapa,40,HN,1571178062,58,15.09,-87.97,87.8,4.7
93,Xining,76,CN,1571178062,87,36.62,101.77,34.75,2.15
94,Trujillo,100,VE,1571178063,88,9.37,-70.44,76.75,2.66
95,Novosheshminsk,41,RU,1571178063,71,55.06,51.22,39.67,12.04
96,Maniitsoq,0,GL,1571178063,45,65.42,-52.9,33.75,4.85
97,Vieste,5,IT,1571178063,100,41.88,16.18,70.0,4.7
98,Rimouski,20,CA,1571178063,70,48.45,-68.52,46.4,12.75
99,Brindisi,0,IT,1571178064,88,40.63,17.94,69.01,4.7
100,Altamira,40,BR,1571178064,94,-3.2,-52.21,78.8,2.15
101,Thompson,75,CA,1571178064,64,55.74,-97.86,33.8,5.82
102,Tasiilaq,97,GL,1571178064,64,65.61,-37.64,35.6,2.08
103,Pevek,100,RU,1571178064,87,69.7,170.27,32.47,9.66
104,Inhambane,45,MZ,1571178064,78,-23.87,35.38,72.59,15.45
105,Kutum,100,SD,1571178065,56,14.2,24.66,77.83,2.62
106,Umm Lajj,100,SA,1571178065,21,25.02,37.27,90.39,9.16
107,Murgud,100,IN,1571178065,87,16.43,74.26,73.53,7.4
108,San Antonio,0,CL,1571178065,67,-33.58,-71.61,62.6,12.75
109,Clyde River,75,CA,1571178065,86,70.47,-68.59,26.6,8.05
110,Faya,0,SA,1571178066,30,18.39,42.45,64.4,11.41
111,Sisimiut,31,GL,1571178066,46,66.94,-53.67,23.61,14.33
112,Torbay,75,CA,1571178066,81,47.66,-52.73,46.99,10.29
113,Hithadhoo,100,MV,1571178066,79,-0.6,73.08,79.74,8.56
114,Krasnyy Yar,97,RU,1571178067,79,50.7,44.73,54.81,7.16
115,Ribeira Grande,100,PT,1571178067,95,38.52,-28.7,65.97,18.63
116,Axim,100,GH,1571178067,92,4.87,-2.24,75.67,4.84
117,Manpur,40,IN,1571178067,88,24.8,85.03,75.2,2.13
118,Russell,1,US,1571178067,23,38.9,-98.86,64.99,20.8
119,Penzance,100,GB,1571178068,100,50.12,-5.53,59.0,21.92
120,Kokomo,90,US,1571178068,56,40.49,-86.13,73.4,13.87
121,Leningradskiy,81,RU,1571178068,83,69.38,178.42,35.04,14.28
122,Igarka,99,RU,1571178068,96,67.47,86.57,36.7,4.91
123,Bluff,4,AU,1571178068,84,-23.58,149.07,70.12,10.06
124,Isla Mujeres,40,MX,1571178068,74,21.23,-86.73,86.0,14.99
125,Ravar,0,IR,1571178069,22,31.27,56.81,57.79,4.66
126,Harper,40,US,1571178069,65,30.3,-99.24,87.8,6.93
127,Upernavik,100,GL,1571178069,95,72.79,-56.15,26.42,14.16
128,Tilichiki,100,RU,1571178069,72,60.47,166.1,24.87,17.5
129,Bambous Virieux,20,MU,1571178069,88,-20.34,57.76,69.8,13.14
130,Hermanus,0,ZA,1571178070,96,-34.42,19.24,60.01,1.99
131,Katastarion,40,GR,1571178070,100,37.83,20.77,64.4,16.46
132,Muravlenko,100,RU,1571178070,95,63.79,74.5,39.56,3.38
133,Cabo San Lucas,40,MX,1571178071,74,22.89,-109.91,87.01,9.17
134,Fergus Falls,90,US,1571178071,87,46.28,-96.08,42.8,11.41
135,Cherskiy,100,RU,1571178071,96,68.75,161.3,22.28,8.25
136,Gizo,43,IL,1571178071,61,31.8,34.94,78.8,6.93
137,Lower Hutt,100,NZ,1571178071,93,-41.21,174.91,59.0,27.51
138,Te Anau,100,NZ,1571178071,95,-45.41,167.72,45.36,0.8
139,New Norfolk,20,AU,1571178072,81,-42.78,147.06,48.2,8.05
140,Palu,71,ID,1571178072,96,-0.9,119.87,65.43,2.39
141,Yakeshi,31,CN,1571178072,67,49.28,120.73,29.75,3.5
142,Plastun,10,RU,1571178072,53,44.76,136.29,32.74,6.06
143,Tuktoyaktuk,40,CA,1571178072,85,69.44,-133.03,21.2,12.75
144,Julio de Castilhos,75,BR,1571178072,82,-29.23,-53.68,64.4,14.99
145,Pangnirtung,90,CA,1571178073,61,66.15,-65.72,32.0,3.36
146,Nizwa,0,OM,1571178073,42,22.93,57.53,74.98,0.85
147,Georgetown,20,GY,1571178073,74,6.8,-58.16,84.2,6.93
148,Ardakan,0,IR,1571178073,28,32.31,54.02,60.8,2.24
149,Saint-Philippe,1,CA,1571178074,57,45.36,-73.48,54.0,8.5
150,Maningrida,76,AU,1571178074,98,-12.05,134.23,69.75,4.46
151,Dayong,0,CN,1571178074,68,25.02,118.29,69.8,8.95
152,Henties Bay,39,NA,1571178074,88,-22.12,14.28,61.0,3.0
153,Moses Lake,1,US,1571178074,44,47.13,-119.28,59.0,1.8
154,Port Elizabeth,1,US,1571178074,51,39.31,-74.98,64.99,3.6
155,Auki,100,NG,1571178075,67,12.18,6.51,79.11,8.86
156,Sinnamary,75,GF,1571178075,76,5.38,-52.96,81.82,15.87
157,Yantal,92,RU,1571178075,74,56.85,105.25,32.47,4.32
158,Lukiv,65,UA,1571178075,83,51.05,25.4,53.01,9.64
159,Petropavlovsk-Kamchatskiy,75,RU,1571178075,74,53.05,158.65,35.6,6.71
160,Moron,11,HT,1571178075,74,18.56,-74.26,82.49,1.66
161,Xinqing,0,CN,1571178076,78,48.28,129.53,26.94,6.46
162,Barrow,97,AR,1571178076,59,-38.31,-60.23,53.38,11.12
163,Letlhakane,0,BW,1571178076,34,-21.42,25.59,78.37,16.99
164,Kununurra,0,AU,1571178076,73,-15.77,128.74,73.4,3.36
165,Bethel,90,US,1571178077,75,60.79,-161.76,32.0,6.93
166,Angoram,75,PG,1571178077,98,-4.06,144.07,73.94,1.14
167,Kerema,68,PG,1571178077,90,-7.96,145.78,75.67,1.3
168,Kapaa,40,US,1571178077,70,22.08,-159.32,84.2,13.87
169,Sao Joao da Barra,20,BR,1571178077,78,-21.64,-41.05,77.0,16.11
170,Bethanien,0,NA,1571178078,23,-26.5,17.16,71.04,5.7
171,Coquimbo,64,CL,1571178078,77,-29.95,-71.34,59.0,11.41
172,San Cristobal,100,HN,1571178078,81,14.68,-86.92,75.7,5.73
173,Luanda,40,AO,1571178078,83,-8.83,13.24,77.0,6.93
174,Stanislav,0,UA,1571178078,59,46.58,32.14,62.19,9.03
175,Sitka,0,US,1571178078,29,37.17,-99.65,66.0,15.99
176,Saldanha,100,PT,1571178078,80,41.42,-6.55,52.56,8.26
177,Fez,0,MA,1571178079,67,34.03,-5.02,60.8,8.05
178,Sept-Iles,20,CA,1571178079,75,50.2,-66.38,46.4,5.82
179,Ericeira,0,PT,1571178079,82,38.96,-9.42,61.0,6.93
180,Kollo,21,NE,1571178079,52,13.34,2.32,89.6,6.93
181,Ankazoabo,14,MG,1571178079,62,-22.29,44.51,69.91,7.44
182,Talnakh,75,RU,1571178080,92,69.49,88.39,19.4,24.61
183,La Ronge,90,CA,1571178080,80,55.1,-105.3,35.6,2.24
184,Tapiramuta,90,BR,1571178080,54,-11.85,-40.79,76.37,5.72
185,Sao Felix do Xingu,80,BR,1571178080,56,-6.64,-51.99,86.38,4.85
186,Fukuma,20,JP,1571178080,82,33.77,130.47,60.8,8.05
187,Sabaudia,40,IT,1571178080,93,41.3,13.03,66.2,2.24
188,Teguise,20,ES,1571178081,73,29.06,-13.56,69.8,8.05
189,Lorengau,100,PG,1571178081,72,-2.02,147.27,83.75,9.46
190,Olinda,90,AU,1571178081,82,-37.84,145.39,57.99,4.7
191,Nanortalik,0,GL,1571178081,66,60.14,-45.24,37.15,1.52
192,North Bend,1,US,1571178081,72,43.41,-124.22,66.0,9.17
193,Teya,75,MX,1571178081,74,21.05,-89.07,86.0,9.17
194,Parabel,78,RU,1571178082,89,58.71,81.5,41.31,9.47
195,Olga,1,US,1571178082,39,34.11,-118.17,91.4,3.36
196,Minsk,69,BY,1571178082,81,53.9,27.56,51.8,8.95
197,Xuddur,24,SO,1571178082,75,4.12,43.89,76.19,7.3
198,Longyearbyen,7,NO,1571178082,79,78.22,15.63,19.4,3.36
199,Saint George,0,GR,1571178082,82,39.45,22.34,59.0,1.3
200,Puerto Ayora,1,EC,1571178083,64,-0.74,-90.35,75.2,11.41
201,Kamenka,12,MD,1571178083,91,48.03,28.7,45.0,5.96
202,Palanpur,0,IN,1571178083,52,24.17,72.44,78.78,2.18
203,Lompoc,1,US,1571178083,60,34.64,-120.46,84.2,13.87
204,Lauf,100,DE,1571178083,93,48.65,8.13,55.0,10.29
205,Lewistown,1,US,1571178084,51,40.39,-90.15,68.0,14.99
206,Port-Cartier,20,CA,1571178084,75,50.03,-66.88,46.4,5.82
207,Bilibino,100,RU,1571178084,89,68.06,166.44,17.67,3.2
208,Chilca,40,PE,1571178084,39,-13.22,-72.34,62.6,11.41
209,Boa Vista,75,BR,1571178084,83,2.82,-60.67,78.8,4.7
210,Fortuna,1,US,1571178085,67,40.6,-124.16,73.99,13.87
211,Lashio,100,MM,1571178085,86,22.93,97.75,61.63,2.78
212,Myitkyina,77,MM,1571178085,96,25.38,97.4,67.08,2.66
213,Kieta,100,PG,1571178085,80,-6.22,155.63,79.93,4.89
214,Kitama,20,TZ,1571178085,94,-10.72,39.73,75.2,6.93
215,Staicele,98,LV,1571178085,94,57.83,24.75,45.0,5.99
216,Tautira,40,PF,1571178086,66,-17.73,-149.15,86.0,6.93
217,Esperance,75,AU,1571178086,100,-33.86,121.89,51.8,6.93
218,Port Blair,77,IN,1571178086,76,11.67,92.75,83.8,12.18
219,Hasaki,75,JP,1571178086,77,35.73,140.83,59.0,11.41
220,Ibiruba,95,BR,1571178086,87,-28.63,-53.09,62.98,12.78
221,Damietta,0,EG,1571178087,88,31.42,31.81,77.0,5.82
222,Hofn,100,IS,1571178087,90,64.25,-15.21,48.13,37.76
223,The Valley,20,AI,1571178087,74,18.22,-63.06,84.2,4.7
224,Pithoragarh,0,IN,1571178087,94,29.59,80.22,54.12,2.5
225,Nome,40,US,1571178087,58,30.04,-94.42,89.01,12.75
226,Kavaratti,100,IN,1571178087,67,10.57,72.64,83.19,2.79
227,Yeryeri,20,GR,1571178088,88,35.13,24.95,64.99,4.7
228,Buin,75,CL,1571178088,40,-33.73,-70.74,73.99,6.93
229,Havelock,1,US,1571178088,56,34.88,-76.9,73.4,6.04
230,Natal,20,BR,1571178088,78,-5.81,-35.21,80.6,9.17
231,Puerto Madryn,86,AR,1571178088,53,-42.77,-65.04,53.06,19.37
232,Carutapera,21,BR,1571178088,78,-1.2,-46.02,81.52,13.22
233,Pacific Grove,1,US,1571178089,63,36.62,-121.92,84.0,4.7
234,Vardo,1,US,1571178089,37,39.62,-77.74,69.01,10.29
235,Belmonte,100,PT,1571178089,73,40.36,-7.35,54.0,5.6
236,Motril,72,ES,1571178089,66,36.75,-3.52,63.0,1.24
237,Caravelas,0,BR,1571178089,81,-17.73,-39.27,74.37,10.67
238,Port Augusta,69,AU,1571178090,72,-32.49,137.76,61.0,18.34
239,Camacha,9,PT,1571178090,77,33.08,-16.33,66.2,4.7
240,Abu Samrah,8,SY,1571178090,31,35.3,37.18,73.47,3.88
241,Gigmoto,95,PH,1571178090,80,13.78,124.39,81.64,16.35
242,Luderitz,0,NA,1571178090,52,-26.65,15.16,66.2,8.05
243,Dubbo,0,AU,1571178091,23,-32.25,148.6,73.4,9.17
244,Golden,1,US,1571178091,24,39.76,-105.22,63.0,6.99
245,Kaseda,75,JP,1571178091,93,31.42,130.32,59.0,3.36
246,Manado,40,ID,1571178091,100,1.49,124.85,73.4,2.24
247,Jimani,40,DO,1571178091,66,18.49,-71.85,87.8,6.93
248,Kavieng,100,PG,1571178091,72,-2.57,150.8,83.19,4.74
249,Ginda,0,IN,1571178092,81,30.69,78.49,51.94,5.18
250,Saint-Pierre,75,FR,1571178092,93,48.95,4.24,53.6,12.75
251,Tandalti,32,SD,1571178092,41,13.01,31.87,89.51,4.19
252,San Miguel,90,AR,1571178092,87,-34.54,-58.72,57.2,12.75
253,Tocache,100,PE,1571178092,88,-8.19,-76.51,69.22,2.96
254,Belaya Kholunitsa,94,RU,1571178092,85,58.84,50.85,33.06,7.6
255,Takoradi,100,GH,1571178093,90,4.89,-1.75,77.68,11.31
256,Clonakilty,75,IE,1571178093,87,51.62,-8.87,50.0,13.87
257,Mandera,100,ET,1571178093,64,3.94,41.86,82.78,7.53
258,Bela,0,PK,1571178093,72,26.23,66.31,81.14,3.3
259,Oyem,100,GA,1571178093,99,1.6,11.57,68.47,1.86
260,Rio Grande,75,BR,1571178093,68,-32.03,-52.1,64.4,17.22
261,Lukovetskiy,90,RU,1571178094,93,64.29,41.92,35.6,2.24
262,Conakry,40,GN,1571178094,88,9.52,-13.7,78.8,6.93
263,Salalah,4,OM,1571178094,74,17.01,54.1,80.6,3.36
264,Aswan,75,EG,1571178094,29,24.09,32.9,87.8,9.17
265,Vao,100,EE,1571178094,85,59.1,26.19,42.39,11.95
266,Vitim,100,RU,1571178095,91,59.44,112.57,35.91,8.19
267,Maumere,100,ID,1571178095,74,-8.63,122.22,73.17,4.67
268,San Patricio,100,PY,1571178095,91,-26.98,-56.83,63.75,7.47
269,Truro,96,GB,1571178095,100,50.26,-5.05,59.0,21.92
270,Guerrero Negro,0,MX,1571178095,45,27.97,-114.04,78.22,12.39
271,Jalu,67,LY,1571178096,31,29.03,21.55,80.6,12.95
272,Nishihara,90,JP,1571178096,71,35.74,139.53,61.0,6.93
273,Aykhal,90,RU,1571178096,99,65.95,111.51,32.0,6.71
274,Sabha,0,LY,1571178096,34,27.03,14.43,76.95,15.2
275,Ati,100,TD,1571178096,73,13.21,18.34,79.36,10.27
276,Malinovoye Ozero,73,RU,1571178096,65,51.68,79.77,46.11,13.42
277,Burnie,0,AU,1571178097,75,-41.05,145.91,46.54,8.38
278,Srandakan,100,ID,1571178097,93,-7.94,110.25,71.6,5.43
279,Sanchor,10,IN,1571178097,43,24.76,71.77,83.8,6.43
280,La Baule-Escoublac,100,FR,1571178097,87,47.28,-2.4,60.8,20.8
281,Saint-Augustin,75,CA,1571178097,50,45.63,-73.98,54.0,5.82
282,Niteroi,90,BR,1571178097,88,-29.95,-51.16,64.4,16.11
283,Vila Franca do Campo,75,PT,1571178098,88,37.72,-25.43,69.8,18.34
284,Talaya,75,RU,1571178098,100,55.79,84.89,45.0,13.42
285,Shimoda,75,JP,1571178098,82,34.7,138.93,62.6,9.17
286,Zyryanka,100,RU,1571178098,93,65.73,150.89,19.27,17.08
287,Pangai,40,TO,1571178098,74,-19.8,-174.35,82.4,5.82
288,Ypsonas,29,CY,1571178098,69,34.69,32.96,78.8,9.17
289,Isangel,40,VU,1571178098,64,-19.55,169.27,75.2,11.41
290,İstisu,0,AZ,1571178099,87,40.95,48.07,48.2,4.12
291,Hengshui,100,CN,1571178099,24,37.73,115.7,54.3,4.81
292,Chokurdakh,95,RU,1571178099,96,70.62,147.9,11.39,5.78
293,Sfantu Gheorghe,71,RO,1571178099,100,44.65,26.83,57.99,8.05
294,Shahr-e Babak,0,IR,1571178099,45,30.12,55.12,51.87,1.99
295,Catia La Mar,40,VE,1571178100,74,10.6,-67.03,84.2,3.36
296,Hirado,20,JP,1571178100,77,33.32,129.49,62.6,12.75
297,Samarinda,84,ID,1571178100,96,-0.5,117.14,73.44,1.66
298,Shache,0,CN,1571178100,37,38.42,77.24,52.43,2.35
299,Lincoln,26,GB,1571178100,93,53.23,-0.54,54.0,10.29
300,Richards Bay,100,ZA,1571178101,85,-28.77,32.06,69.12,22.78
301,Cairo,0,EG,1571178101,78,30.05,31.24,77.0,3.36
302,Kodiak,1,US,1571178101,43,39.95,-94.76,60.01,16.11
303,Kotel,0,CZ,1571178101,93,50.68,14.95,64.0,2.24
304,Dhidhdhoo,100,MV,1571178101,67,6.88,73.1,82.24,2.49
305,Jumla,1,NP,1571178101,88,29.28,82.18,40.68,3.73
306,Zaraza,62,VE,1571178102,84,9.35,-65.33,82.33,3.61
307,Anamur,75,TR,1571178102,60,36.08,32.84,68.0,4.7
308,Dengzhou,100,CN,1571178102,58,32.69,112.08,54.0,3.49
309,Miles City,1,US,1571178102,45,46.41,-105.84,48.2,4.7
310,Viedma,95,AR,1571178102,56,-40.81,-62.99,51.37,13.67
311,Bhuj,0,IN,1571178102,48,23.25,69.67,84.15,6.28
312,Alofi,75,NU,1571178103,65,-19.06,-169.92,82.4,11.41
313,Alice Springs,59,AU,1571178103,19,-23.7,133.88,80.6,1.12
314,Machala,90,EC,1571178104,78,-3.26,-79.96,89.6,4.7
315,Rio Cauto,40,CU,1571178104,74,20.56,-76.92,86.0,11.41
316,Victoria,75,BN,1571178104,94,5.28,115.24,80.01,1.12
317,Pokhara,0,NP,1571178104,83,28.21,83.99,61.66,2.75
318,Bolobo,59,CD,1571178104,94,-2.17,16.23,70.36,2.69
319,Lagoa,49,PT,1571178105,72,37.14,-8.45,60.01,4.7
320,Namatanai,100,PG,1571178105,74,-3.66,152.44,81.34,3.94
321,Severo-Kurilsk,76,RU,1571178105,79,50.68,156.12,34.86,30.28
322,Powell River,90,CA,1571178105,87,49.84,-124.52,51.8,12.75
323,Pascagoula,20,US,1571178105,70,30.37,-88.56,84.2,4.7
324,Hof,90,DE,1571178105,100,50.32,11.92,57.99,10.26
325,Hirara,75,JP,1571178106,73,24.8,125.28,77.0,13.87
326,Ormara,0,PK,1571178106,72,25.21,64.64,82.35,2.65
327,Galle,100,GN,1571178106,95,10.08,-12.83,72.32,3.44
328,Meulaboh,100,ID,1571178106,82,4.14,96.13,79.61,4.94
329,Awbari,7,LY,1571178106,35,26.59,12.77,72.99,6.05
330,Vagay,100,RU,1571178107,93,57.94,69.02,41.29,4.08
331,Birmitrapur,79,IN,1571178107,80,22.4,84.77,67.26,1.98
332,Balkanabat,0,TM,1571178107,22,39.51,54.36,63.1,13.07
333,Uyemskiy,90,RU,1571178107,93,64.47,40.85,35.6,2.24
334,Matara,8,BI,1571178107,81,-3.48,29.48,61.2,3.88
335,Kangalassy,75,RU,1571178107,73,62.35,129.97,24.8,6.71
336,Taoudenni,46,ML,1571178108,19,22.68,-3.98,92.41,10.02
337,Madang,8,CN,1571178108,84,35.32,102.79,31.87,1.39
338,Karlstad,100,SE,1571178108,100,59.38,13.5,46.4,10.29
339,Egvekinot,31,RU,1571178108,95,66.32,-179.17,23.41,14.94
340,Marin,75,AR,1571178108,71,-38.98,-67.84,51.8,13.87
341,Kajaani,66,FI,1571178109,86,64.22,27.73,33.8,5.82
342,Ondjiva,81,AO,1571178109,22,-17.07,15.73,84.24,3.6
343,Westport,1,US,1571178109,44,41.14,-73.36,63.0,6.93
344,Mataram,85,ID,1571178109,99,-5.32,105.06,69.76,2.5
345,Kondopoga,100,RU,1571178109,84,62.21,34.27,35.6,2.24
346,Salta,75,AR,1571178110,81,-24.79,-65.41,55.4,12.75
347,Oksfjord,75,NO,1571178110,88,70.24,22.35,35.6,13.87
348,Vestmannaeyjar,100,IS,1571178110,88,63.44,-20.27,48.31,35.02
349,Coihaique,90,CL,1571178110,43,-45.58,-72.07,55.4,8.05
350,Khani,0,GE,1571178111,82,41.96,42.96,59.0,11.41
351,Brae,37,GB,1571178111,93,60.4,-1.35,51.8,12.75
352,Yuxia,90,CN,1571178111,100,34.06,108.63,51.01,2.24
353,La Gomera,90,GT,1571178111,94,14.09,-91.05,77.0,16.11
354,Jamame,8,SO,1571178111,85,0.07,42.75,80.35,17.02
355,Zhezkazgan,87,KZ,1571178111,47,47.8,67.71,50.27,20.1
356,Heinola,75,FI,1571178111,93,61.2,26.03,35.6,5.82
357,Kirksville,1,US,1571178112,44,40.19,-92.58,60.8,13.87
358,Mount Isa,0,AU,1571178112,27,-20.73,139.49,87.8,5.82
359,Urucui,41,BR,1571178112,26,-7.23,-44.56,91.35,4.92
360,Laguna,75,BZ,1571178112,79,16.17,-88.94,84.2,2.89
361,Uglovskoye,73,RU,1571178112,65,51.36,80.19,46.11,13.42
362,Chapais,90,CA,1571178112,93,49.78,-74.86,39.2,13.87
363,Santa Cruz del Sur,54,CU,1571178113,67,20.71,-78.0,83.95,5.03
364,Fereydun Kenar,0,IR,1571178113,93,36.69,52.52,53.6,4.7
365,Usinsk,100,RU,1571178113,96,66.0,57.56,34.0,12.01
366,Dali,100,CN,1571178113,88,34.79,109.94,46.49,3.15
367,Oron,100,NG,1571178113,95,4.81,8.23,74.32,5.18
368,Pitea,0,SE,1571178113,92,65.32,21.48,30.0,3.36
369,Vitry-le-Francois,20,FR,1571178114,81,48.73,4.58,53.6,9.17
370,Naze,40,NG,1571178114,94,5.43,7.07,75.2,4.16
371,Venado Tuerto,100,AR,1571178114,91,-33.75,-61.97,52.0,8.01
372,Pak Phanang,100,TH,1571178114,84,8.35,100.2,77.2,3.75
373,Port Keats,6,AU,1571178114,78,-14.25,129.55,77.02,5.33
374,Ajdabiya,41,LY,1571178114,41,30.75,20.22,78.01,10.4
375,Riyadh,0,SA,1571178115,47,24.63,46.72,78.8,2.24
